Team,No.,Space,Action,Erros,Attempts,Score
POL,19,2,5,0.0,0.0,0.0
POL,6,3,1,1.0,0.0,0.0
POL,14,7,8,0.0,0.0,0.0
POL,19,1,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,1.0
POL,15,11,6,0.0,0.0,0.0
POL,19,5,3,0.0,0.0,0.0
POL,14,4,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,1.0
POL,15,11,6,0.0,0.0,0.0
POL,15,4,3,0.0,0.0,0.0
POL,19,5,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,16,1,2,0.0,0.0,0.0
POL,14,8,3,1.0,0.0,0.0
POL,14,7,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,14,5,3,1.0,0.0,0.0
POL,6,11,6,0.0,0.0,0.0
POL,6,11,6,1.0,0.0,0.0
POL,17,9,8,0.0,0.0,0.0
POL,19,5,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,14,1,3,0.0,0.0,0.0
POL,19,5,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,1.0
POL,16,10,6,0.0,0.0,0.0
POL,6,6,3,1.0,0.0,0.0
POL,20,12,6,0.0,0.0,0.0
POL,20,7,3,1.0,0.0,0.0
POL,16,4,8,0.0,1.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,15,2,1,0.0,0.0,0.0
POL,17,5,3,0.0,0.0,0.0
POL,19,1,5,0.0,0.0,0.0
POL,14,1,1,0.0,0.0,1.0
POL,19,12,4,0.0,0.0,0.0
POL,15,2,2,0.0,0.0,1.0
POL,19,12,4,0.0,0.0,0.0
POL,16,8,4,0.0,0.0,0.0
POL,16,5,3,0.0,0.0,0.0
POL,19,2,8,0.0,0.0,0.0
POL,14,3,5,0.0,0.0,0.0
POL,15,3,1,0.0,0.0,0.0
POL,16,8,2,1.0,0.0,0.0
POL,19,3,3,0.0,0.0,0.0
POL,16,2,1,0.0,0.0,1.0
POL,14,12,1,0.0,0.0,0.0
POL,14,12,6,0.0,0.0,0.0
POL,15,1,2,0.0,0.0,0.0
POL,14,8,3,0.0,0.0,0.0
POL,19,1,5,0.0,0.0,0.0
POL,16,1,1,1.0,0.0,0.0
POL,17,8,8,0.0,0.0,0.0
POL,19,6,5,0.0,0.0,0.0
POL,16,1,1,1.0,0.0,0.0
POL,16,7,8,0.0,0.0,0.0
POL,19,1,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,15,11,6,0.0,0.0,0.0
POL,16,1,2,0.0,0.0,0.0
POL,14,6,3,0.0,1.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,20,2,1,0.0,0.0,0.0
POL,6,1,2,1.0,0.0,0.0
POL,14,8,8,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,20,2,1,0.0,0.0,0.0
POL,20,1,2,1.0,0.0,0.0
POL,16,7,8,0.0,0.0,0.0
POL,19,5,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,1.0
POL,16,10,6,0.0,0.0,0.0
POL,16,8,3,1.0,0.0,0.0
POL,17,8,8,0.0,0.0,0.0
POL,19,3,5,0.0,0.0,0.0
POL,20,2,1,0.0,0.0,0.0
POL,20,3,2,0.0,0.0,0.0
POL,16,6,3,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,14,1,1,0.0,0.0,1.0
POL,20,12,6,1.0,0.0,0.0
POL,14,4,8,0.0,1.0,0.0
POL,18,2,5,0.0,1.0,0.0
POL,14,1,1,0.0,0.0,1.0
POL,19,12,4,0.0,0.0,0.0
POL,6,3,2,0.0,0.0,0.0
POL,19,12,4,0.0,0.0,0.0
POL,17,1,3,1.0,0.0,0.0
POL,14,6,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,14,3,1,0.0,0.0,1.0
POL,23,10,6,0.0,0.0,0.0
POL,23,8,3,0.0,0.0,0.0
POL,17,4,3,0.0,0.0,0.0
POL,15,1,3,0.0,0.0,0.0
POL,16,1,2,0.0,0.0,0.0
POL,17,4,3,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,15,1,1,0.0,0.0,1.0
POL,23,10,6,1.0,0.0,0.0
POL,15,11,6,0.0,0.0,1.0
POL,15,11,6,0.0,0.0,1.0
POL,15,11,6,0.0,0.0,0.0
POL,19,2,3,1.0,0.0,0.0
POL,17,8,8,1.0,0.0,0.0
POL,17,5,8,1.0,0.0,0.0
POL,14,8,8,0.0,0.0,0.0
POL,19,5,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,1.0
POL,6,11,6,0.0,0.0,0.0
POL,17,4,3,1.0,0.0,0.0
POL,16,7,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,20,2,1,0.0,0.0,1.0
POL,16,10,6,1.0,0.0,0.0
POL,17,8,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,16,2,1,0.0,0.0,1.0
POL,15,11,6,0.0,0.0,0.0
POL,20,3,2,0.0,0.0,0.0
POL,20,1,2,0.0,0.0,0.0
POL,19,6,3,0.0,0.0,0.0
POL,14,5,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,1.0
POL,15,11,6,0.0,0.0,1.0
POL,15,11,6,1.0,0.0,0.0
POL,14,7,8,0.0,0.0,0.0
POL,16,13,3,0.0,0.0,0.0
POL,14,5,3,0.0,0.0,0.0
POL,20,3,2,0.0,0.0,1.0
POL,6,11,6,0.0,0.0,0.0
POL,6,11,6,0.0,0.0,0.0
POL,6,6,3,1.0,0.0,0.0
POL,17,9,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,6,3,1,1.0,0.0,0.0
POL,14,8,8,0.0,0.0,0.0
POL,19,8,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,1.0
POL,16,10,6,0.0,0.0,0.0
POL,17,4,3,0.0,0.0,0.0
POL,16,4,3,0.0,0.0,0.0
POL,14,1,1,0.0,0.0,0.0
POL,17,1,3,0.0,0.0,0.0
POL,20,2,3,0.0,0.0,0.0
POL,6,3,3,0.0,0.0,0.0
POL,6,6,3,1.0,0.0,0.0
POL,16,6,8,0.0,0.0,0.0
POL,19,6,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,1.0
POL,20,12,6,0.0,0.0,0.0
POL,15,3,2,1.0,0.0,0.0
POL,17,6,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,16,2,1,0.0,0.0,1.0
POL,19,12,4,0.0,0.0,0.0
POL,17,4,3,1.0,0.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,6,1,1,0.0,0.0,1.0
POL,14,12,6,0.0,0.0,0.0
POL,14,8,3,1.0,0.0,0.0
POL,15,11,6,0.0,0.0,0.0
POL,14,8,3,1.0,0.0,0.0
POL,6,11,6,1.0,0.0,0.0
POL,17,8,8,0.0,0.0,0.0
POL,19,6,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,20,1,2,1.0,0.0,0.0
POL,14,8,8,0.0,0.0,0.0
POL,19,13,3,0.0,0.0,0.0
POL,16,5,3,1.0,0.0,0.0
POL,17,5,3,0.0,0.0,0.0
POL,14,8,8,0.0,0.0,0.0
POL,19,6,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,16,10,6,0.0,0.0,0.0
POL,6,9,3,1.0,0.0,0.0
POL,17,8,8,0.0,0.0,0.0
POL,19,5,5,0.0,0.0,0.0
POL,14,1,1,0.0,0.0,1.0
POL,20,12,6,0.0,0.0,0.0
POL,20,12,6,0.0,0.0,0.0
POL,20,12,6,0.0,0.0,0.0
POL,15,2,2,0.0,0.0,1.0
POL,20,12,6,0.0,0.0,0.0
POL,6,6,3,1.0,0.0,0.0
POL,14,7,8,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,14,1,1,0.0,0.0,1.0
POL,15,1,3,0.0,0.0,0.0
POL,15,3,2,0.0,0.0,0.0
POL,17,5,3,1.0,0.0,0.0
POL,16,4,8,0.0,1.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,15,2,1,0.0,0.0,0.0
POL,19,2,3,1.0,0.0,0.0
POL,16,4,8,0.0,1.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,15,1,1,0.0,0.0,0.0
POL,6,1,3,1.0,0.0,0.0
POL,17,5,8,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,14,3,1,0.0,0.0,1.0
POL,23,10,6,0.0,0.0,0.0
POL,23,10,6,0.0,0.0,0.0
POL,16,2,2,1.0,0.0,0.0
POL,17,8,8,0.0,0.0,0.0
POL,19,6,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,20,1,2,0.0,0.0,0.0
POL,14,8,3,1.0,0.0,0.0
POL,14,8,8,0.0,0.0,0.0
POL,19,6,3,1.0,0.0,0.0
POL,15,11,6,0.0,0.0,0.0
POL,14,8,3,1.0,0.0,0.0
POL,17,9,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,20,2,1,0.0,0.0,1.0
POL,6,11,6,1.0,0.0,0.0
POL,16,10,6,0.0,0.0,0.0
POL,20,1,2,0.0,0.0,0.0
POL,5,5,3,0.0,0.0,0.0
POL,12,1,5,0.0,0.0,0.0
POL,14,1,1,0.0,0.0,0.0
POL,12,6,3,1.0,0.0,0.0
POL,14,4,8,0.0,0.0,0.0
POL,12,2,5,0.0,0.0,0.0
POL,16,2,1,0.0,0.0,0.0
POL,5,3,1,0.0,0.0,0.0
POL,20,2,3,0.0,1.0,0.0
POL,12,3,5,0.0,1.0,0.0
POL,20,2,1,0.0,0.0,1.0
POL,20,12,6,1.0,0.0,0.0
POL,16,8,8,0.0,0.0,0.0
POL,12,2,5,0.0,0.0,0.0
POL,14,1,1,0.0,0.0,0.0
POL,5,10,6,1.0,0.0,0.0
POL,17,6,8,0.0,0.0,0.0
POL,19,3,5,0.0,1.0,0.0
POL,6,1,1,0.0,0.0,1.0
POL,14,12,6,1.0,0.0,0.0
POL,17,8,8,1.0,0.0,0.0
POL,15,11,6,1.0,0.0,0.0
POL,14,8,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,16,1,1,0.0,0.0,1.0
POL,6,11,6,0.0,0.0,1.0
POL,6,11,6,1.0,0.0,0.0
POL,14,8,8,0.0,0.0,0.0
POL,19,6,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,1.0
POL,16,10,6,0.0,0.0,0.0
POL,20,3,2,0.0,0.0,0.0
POL,210,3,2,0.0,0.0,0.0
POL,16,7,3,0.0,0.0,0.0
POL,19,4,5,0.0,0.0,0.0
POL,14,1,3,0.0,0.0,0.0
POL,20,3,2,0.0,0.0,0.0
POL,17,4,3,0.0,1.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,16,1,3,0.0,0.0,0.0
POL,20,1,2,0.0,0.0,0.0
POL,16,9,3,0.0,1.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,1.0
POL,16,10,6,0.0,0.0,0.0
POL,6,4,3,1.0,0.0,0.0
POL,17,8,8,0.0,0.0,0.0
POL,19,3,5,0.0,0.0,0.0
POL,16,2,1,1.0,0.0,0.0
POL,17,8,8,0.0,0.0,0.0
POL,19,13,5,0.0,0.0,0.0
POL,6,3,1,1.0,0.0,0.0
POL,16,8,8,1.0,0.0,0.0
POL,14,4,8,0.0,0.0,0.0
POL,19,5,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,1.0
POL,20,12,6,0.0,0.0,0.0
POL,20,4,3,1.0,0.0,0.0
POL,16,8,8,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,19,12,4,0.0,0.0,0.0
POL,6,3,3,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,14,1,3,0.0,0.0,0.0
POL,19,6,5,0.0,0.0,0.0
POL,14,1,1,0.0,0.0,1.0
POL,19,12,4,1.0,0.0,0.0
POL,16,6,8,0.0,0.0,0.0
POL,19,4,5,0.0,1.0,0.0
POL,15,2,1,0.0,0.0,0.0
POL,17,4,3,1.0,0.0,0.0
POL,16,4,8,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,6,1,1,0.0,0.0,0.0
POL,17,4,3,1.0,0.0,0.0
POL,16,4,8,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,6,1,1,0.0,0.0,1.0
POL,14,12,4,0.0,0.0,0.0
POL,14,7,3,1.0,0.0,0.0
POL,7,12,4,0.0,0.0,0.0
POL,7,4,3,0.0,0.0,0.0
POL,0,0,5,0.0,0.0,1.0
POL,7,12,1,0.0,0.0,0.0
POL,19,6,3,0.0,0.0,0.0
POL,14,5,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,19,6,3,0.0,0.0,0.0
POL,14,5,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,1.0
POL,14,9,3,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,7,12,4,0.0,0.0,0.0
POL,20,2,2,1.0,0.0,0.0
POL,16,4,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,17,4,3,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,6,11,6,0.0,0.0,0.0
POL,14,8,3,1.0,0.0,0.0
POL,16,10,6,0.0,0.0,0.0
POL,20,2,2,0.0,0.0,0.0
POL,20,3,2,0.0,0.0,0.0
POL,20,3,2,0.0,0.0,0.0
POL,16,8,3,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,19,3,2,1.0,0.0,0.0
POL,20,12,6,0.0,0.0,1.0
POL,20,12,6,0.0,0.0,0.0
POL,7,1,2,0.0,0.0,1.0
POL,20,12,6,0.0,0.0,0.0
POL,14,2,2,0.0,0.0,1.0
POL,20,12,6,0.0,0.0,0.0
POL,16,8,3,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,20,12,6,0.0,0.0,0.0
POL,14,2,2,0.0,0.0,0.0
POL,20,12,6,0.0,0.0,0.0
POL,7,2,2,1.0,0.0,0.0
POL,16,8,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,6,3,1,0.0,0.0,1.0
POL,19,12,4,0.0,0.0,0.0
POL,19,6,3,1.0,0.0,0.0
POL,14,5,8,0.0,0.0,0.0
POL,17,8,5,0.0,0.0,0.0
POL,6,1,1,0.0,0.0,1.0
POL,14,12,6,1.0,0.0,0.0
POL,14,6,3,0.0,0.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,14,12,6,0.0,0.0,0.0
POL,7,12,4,0.0,0.0,0.0
POL,20,2,2,1.0,0.0,0.0
POL,14,12,6,0.0,0.0,0.0
POL,7,1,2,0.0,0.0,0.0
POL,17,13,3,1.0,0.0,0.0
POL,17,8,8,1.0,0.0,0.0
POL,16,4,8,1.0,0.0,0.0
POL,17,4,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,6,2,1,0.0,0.0,1.0
POL,7,12,4,1.0,0.0,0.0
POL,20,5,8,0.0,1.0,0.0
POL,19,2,5,0.0,1.0,0.0
POL,20,2,1,0.0,0.0,1.0
POL,6,11,6,0.0,0.0,0.0
POL,19,3,2,1.0,0.0,0.0
POL,14,8,8,0.0,0.0,0.0
POL,17,13,3,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,20,2,3,0.0,0.0,0.0
POL,6,3,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,17,6,3,0.0,1.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,19,3,3,1.0,0.0,0.0
POL,16,10,6,0.0,0.0,0.0
POL,14,1,3,1.0,0.0,0.0
POL,20,12,6,0.0,0.0,0.0
POL,7,2,3,1.0,0.0,0.0
POL,16,8,8,0.0,1.0,0.0
POL,19,2,5,0.0,0.0,0.0
POL,16,1,1,0.0,0.0,0.0
POL,16,1,3,1.0,0.0,0.0
POL,21,5,8,0.0,1.0,0.0
POL,19,3,5,0.0,0.0,0.0
POL,21,1,1,0.0,0.0,0.0
POL,17,2,3,1.0,0.0,0.0
POL,21,4,8,0.0,0.0,0.0
POL,19,1,5,0.0,0.0,0.0
POL,6,3,1,0.0,0.0,0.0
POL,16,8,8,0.0,0.0,0.0
POL,12,1,5,0.0,0.0,0.0
POL,7,2,1,0.0,0.0,0.0
POL,12,3,3,1.0,0.0,0.0
POL,12,12,4,0.0,0.0,0.0
POL,7,2,2,0.0,0.0,1.0
POL,12,12,4,0.0,0.0,0.0
POL,12,6,3,0.0,0.0,0.0
POL,17,2,5,0.0,0.0,0.0
POL,21,1,1,0.0,0.0,0.0
POL,21,1,2,0.0,0.0,0.0
POL,12,6,3,1.0,0.0,0.0
POL,16,7,8,0.0,0.0,0.0
POL,12,2,5,0.0,0.0,0.0
POL,7,1,1,0.0,0.0,1.0
POL,21,11,4,1.0,0.0,0.0
POL,17,7,8,0.0,0.0,0.0
POL,12,2,5,0.0,0.0,0.0
POL,5,3,1,0.0,0.0,1.0
POL,7,12,4,0.0,0.0,0.0
POL,12,5,3,1.0,0.0,0.0
POL,5,10,6,0.0,0.0,0.0
POL,17,4,3,0.0,0.0,0.0
POL,20,3,3,0.0,0.0,0.0
POL,5,6,1,0.0,0.0,0.0
POL,12,3,2,0.0,0.0,0.0
POL,21,8,3,1.0,0.0,0.0
POL,16,10,6,1.0,0.0,0.0
POL,17,7,8,0.0,0.0,0.0
POL,12,5,5,0.0,0.0,0.0
POL,21,1,1,0.0,0.0,0.0
POL,20,11,6,1.0,0.0,0.0
POL,12,2,5,0.0,0.0,0.0
POL,5,3,1,0.0,0.0,1.0
POL,12,12,4,0.0,0.0,0.0
POL,21,1,2,1.0,0.0,0.0
POL,10,7,8,0.0,0.0,0.0
POL,12,2,5,0.0,0.0,0.0
POL,5,1,1,0.0,0.0,0.0
POL,21,3,3,1.0,0.0,0.0
POL,21,6,8,1.0,0.0,0.0
POL,21,6,8,0.0,0.0,0.0
POL,12,1,5,0.0,0.0,0.0
POL,7,2,1,0.0,0.0,1.0
POL,21,11,6,1.0,0.0,0.0
POL,17,7,8,0.0,0.0,0.0
POL,12,6,5,0.0,0.0,0.0
POL,10,1,1,0.0,0.0,0.0
